product_id,canonical_name,category,size_value,size_unit,superstore_sku,saveon_sku,walmart_sku
1,2% Milk 2L,dairy,2,L,20963512_EA,00068700108907,
2,Bananas,produce,,kg,20175355001_KG,4011,
3,Eggs 12pk,dairy,12,unit,20305674_EA,00062639410124,
4,Bread White,bakery,675,g,20812144001_EA,00064947130220,
5,Butter 454g,dairy,454,g,20325029_EA,00068700045059,
6,Homo Milk 2L,dairy,2,L,20963608_EA,00068700112003,
7,Skim Milk 2L,dairy,2,L,20963447_EA,00068700120008,
8,Cream Cheese 250g,dairy,250,g,20641267_EA,00068100011258,
9,Sour Cream 500ml,dairy,500,ml,20299657_EA,00068700267000,
10,Cheddar Cheese 400g,dairy,400,g,21279230_EA,00062639363819,
11,Mozzarella 400g,dairy,400,g,21279225_EA,00062639363840,
12,Greek Yogurt 750g,dairy,750,g,21518484_EA,00062639381349,
13,Orange Juice 1.75L,dairy,1.54,L,21430531_EA,00062639361044,
14,Apples,produce,2.27,kg,20630646001_EA,00082683030093,
15,Tomatoes,produce,,kg,20426141001_KG,4799,
16,Broccoli,produce,,kg,20145621001_EA,4548,
17,Carrots 2lb,produce,2,lb,20626628001_EA,00032601042004,
18,Potatoes 5lb,produce,5,lb,20601014001_EA,570,
19,Onions 3lb,produce,3,lb,20811994001_EA,00033383301020,
20,Avocado,produce,,unit,21097012001_EA,4046,
21,Strawberries 1lb,produce,1,lb,20049778001_EA,00033383200279,
22,Chicken Breast,meat,,kg,21290737_EA,00263229000002,
23,Ground Beef,meat,,kg,21604443_EA,00290066000001,
24,Bacon 375g,meat,375,g,20772671_EA,00062639288556,
25,Salmon Fillet,meat,,kg,21634448_EA,00285064000009,
26,Pork Chops,meat,,kg,21662070_KG,00261568000004,
27,Hot Dogs 450g,meat,450,g,20002786_EA,00063100000431,
28,Pasta 900g,pantry,900,g,20315613002_EA,00064200113809,
29,Pasta Sauce 650ml,pantry,650,ml,21618426_EA,00057000012465,
30,Rice 2kg,pantry,2,kg,20069589_EA,00062639300104,
31,Olive Oil 1L,pantry,1,L,20105368_EA,00062639205584,
32,Canola Oil 3L,pantry,3,L,20028656_EA,00062639332532,
33,Canned Tomatoes 796ml,pantry,796,ml,20314629001_EA,00058807665649,
34,Canned Tuna 170g,pantry,170,g,20521647_EA,00061362434308,
35,Peanut Butter 1kg,pantry,1,kg,20039581001_EA,00068100084245,
36,Jam 500ml,pantry,500,ml,20308043001_EA,00051500025918,
37,Honey 500g,pantry,500,g,20129324_EA,00062639182854,
38,Tortillas 10pk,bakery,10,unit,20119200_EA,00063400170100,
39,English Muffins 6pk,bakery,6,unit,20810796_EA,00062639172220,
40,Bagels 6pk,bakery,6,unit,21217970_EA,00068721704430,
41,Frozen Peas 750g,frozen,750,g,20312260_EA,00062639331719,
42,Frozen Fries 800g,frozen,800,g,21521219_EA,00056210255006,
43,Ice Cream 2L,frozen,2,L,20323573001_EA,00062942000227,
44,Frozen Pizza,frozen,,unit,20296424003_EA,00058336836107,
45,Dish Soap 431ml,household,431,ml,21430590_EA,00030772006108,
46,Laundry Detergent,household,,unit,21593782_EA,00030772121108,
47,Paper Towels,household,,unit,21670280_EA,00030772156629,
48,Toilet Paper 12pk,household,12,unit,21624748_EA,00062639365677,
49,Shampoo,household,,unit,21505016_EA,00030772062883,
50,Toothpaste,household,,unit,20077991_EA,00058000313279,
